x,Curve1,x,Curve1,x,Curve1,x,Curve1
0.988468,709.408,0.790774,1208.1,0.988468,1602.06,0.790774,1871.36
1.18616,779.216,1.38386,1307.82,1.38386,1711.75,1.58155,1966.08
1.77924,863.968,2.17463,1407.52,1.97694,1811.47,1.77924,2055.83
2.76771,963.665,2.9654,1532.16,2.76771,1916.16,2.37232,2150.56
3.75618,1058.37,4.34926,1572,4.54695,2005.85,2.76771,2245.29
5.73311,1083.23,5.93081,1477.18,5.93081,1911.04,4.15157,2305.08
7.31466,1028.3,7.90774,1342.45,6.52389,1806.29,5.93081,2260.12
9.68699,973.351,9.0939,1257.63,7.31466,1671.61,8.50082,2175.24
11.6639,933.374,10.8731,1177.76,8.30313,1526.95,10.0824,2120.32
14.4316,893.364,13.0478,1102.87,9.48929,1367.32,11.2685,2040.48
17.397,863.319,15.4201,1037.94,10.4778,1252.58,12.6524,1960.63
20.5601,843.24,18.7809,982.947,12.257,1182.69,14.4316,1850.84
23.1301,823.186,21.3509,927.984,14.2339,1112.79,15.8155,1756.04
26.2932,803.107,23.7232,907.938,16.2109,1037.91,17.397,1621.32
29.654,783.02,26.8863,862.925,18.7809,977.96,18.1878,1486.65
33.0148,772.906,30.2471,832.864,22.3394,932.93,19.5717,1376.88
35.3871,757.847,35.5848,817.681,26.4909,887.875,20.9555,1262.12
38.1549,747.758,40.1318,797.545,30.2471,862.785,22.3394,1182.27
42.3064,737.612,44.8764,767.426,33.6079,832.724,25.3048,1092.39
46.8534,717.475,48.8303,752.301,36.771,817.632,27.8748,1037.42
51.2026,707.321,52.7842,752.137,40.5272,802.515,31.4333,987.408
54.9588,702.178,56.5404,746.994,44.4811,787.39,34.7941,947.373
58.9127,707.001,60.0988,751.833,48.4349,782.239,38.9456,907.305
62.6689,696.871,64.0527,731.721,52.3888,777.088,43.0972,872.225
67.0181,696.69,68.7974,731.524,56.5404,766.942,46.8534,852.121
70.972,696.526,73.1466,731.343,60.8896,761.774,51.4003,836.972
75.7166,696.328,78.089,721.164,64.2504,756.648,56.145,811.84
80.2636,696.14,82.6359,720.975,68.402,756.475,60.6919,796.69
84.6129,695.959,86.3921,720.819,73.1466,751.291,65.2389,791.515
88.5667,685.821,90.7414,720.638,78.4843,746.082,69.9835,786.331
92.7183,685.648,94.2998,720.491,83.4267,740.89,74.9259,786.125
96.8699,685.476,99.6376,720.269,89.9506,730.645,79.0774,780.966
101.219,685.295,104.185,720.08,95.0906,725.445,84.0198,775.773
106.755,675.091,108.731,724.878,100.033,725.239,88.7644,770.589
111.499,679.881,112.685,724.713,106.359,724.976,93.5091,760.418
117.035,669.677,117.628,724.508,111.697,719.768,98.8468,755.21
,,,,116.639,724.549,103.394,755.021
,,,,,,108.138,754.824
,,,,,,113.278,744.636
,,,,,,117.43,749.451
