x_0.5,Curve1_0.5,x_1,Curve1_1,x_2,Curve1_2,x_3,Curve1_3
3.2561,402.53185,2.84973,433.48015,3.66246,542.14308,2.44337,650.80601
4.47519,538.70438,5.28792,703.76199,5.69428,749.15284,4.47519,822.74102
5.28792,657.68341,6.99464,1001.55344,5.69428,885.32537,5.28792,966.4787
6.58828,787.66628,8.21374,1130.84857,6.18192,1074.45389,6.18192,1130.84857
6.99464,923.83881,9.02646,1239.5115,7.40101,1207.87546,7.40101,1278.02494
8.21374,1060.69908,11.54592,1295.21845,8.6201,1323.41579,7.40101,1375.68403
9.83919,1169.36201,17.31628,1204.43676,8.6201,1407.32008,8.6201,1474.03086
11.54592,1214.75286,22.27392,1099.21253,9.83919,1512.5443,9.02646,1582.69379
16.50356,1155.60721,26.01247,1022.18564,10.32683,1610.89113,9.83919,1684.47932
18.94174,1078.58033,32.1892,993.9883,12.76501,1659.72068,10.73319,1750.50237
23.08665,1004.99214,42.99847,993.9883,16.09719,1579.25509,12.76501,1789.01581
29.34465,973.3561,51.28829,993.9883,17.72265,1509.1056,17.31628,1743.62496
39.66629,976.7948,62.82902,997.427,18.53537,1445.83352,18.53537,1694.79542
48.36247,966.4787,75.26375,997.427,20.2421,1379.81047,18.94174,1617.76853
58.27775,955.47486,86.47939,1001.55344,21.05483,1333.73189,22.68028,1515.983
66.56757,966.4787,97.61376,993.9883,22.68028,1271.14754,23.98065,1418.32392
78.18957,958.91356,109.23576,987.1109,23.98065,1214.75286,26.01247,1323.41579
86.88576,958.91356,,,27.63792,1152.16851,26.8252,1253.2663
94.28158,958.91356,,,34.30229,1106.08993,33.48956,1190.68196
101.35231,963.04,,,42.99847,1106.08993,43.8112,1172.80071
110.04849,958.91356,,,51.69466,1109.52863,55.4332,1172.80071
,,,,62.0163,1106.08993,66.56757,1172.80071
,,,,72.33794,1106.08993,76.48285,1169.36201
,,,,83.95994,1102.65123,85.17903,1169.36201
,,,,92.65612,1095.77383,94.28158,1162.48461
,,,,101.35231,1099.21253,102.16503,1162.48461
,,,,109.64213,1099.21253,112.56795,1172.80071
